PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species,Strain/Sex,Route,Dose,Tumor Site: Type of Lesion,Results,Reference
6352,363904282,125404,C1=CC=C2C(=C1)C=C3C(C(C4=CC=CC5=C4C3=C2C6=CC=CC=C56)O)O,Inactive,,,,MOUSE,SWISS/FEMALE,DERMAL,0; 1; 4 NMOL IN 100 UL ACETONE 2/WK FOR 40 WK (STUDY DURATION: 48 WK),,NEGATIVE,"[HIGGINBOTHAM,S, RAMAKRISHNA,NVS, JOHANSSON,SL, ROGAN,EG AND CAVALIERI,EL; TUMOR-INITIATING ACTIVITY AND CARCINOGENICITY OF DIBENZO[A,L]PYRENE VERSUS 7,12-DIMETHYLBENZ[A]ANTHRACENE AND BENZO[A]PYRENE AT LOW DOSE IN MOUSE SKIN; CARCINOGENESIS 14(5):875-878, 1993]"
6353,363904285,96148,CN(C=O)N=O,Active,,,,RAT,F344/MALE,GAVAGE,0; 0.6 MG IN CORN OIL 2/WK FOR 20 WK (STUDY DURATION: 40 WK),FORESTOMACH: TUMOR,POSITIVE,"[ELESPURU,RK, SAAVEDRA,JE, KOVATCH,RM AND LIJINSKY,W; EXAMINATION OF ALPHA- CARBONYL DERIVATIVES OF NITROSODIMETHYLAMINE AND ETHYLNITROSOMETHYLAMINE AS PUTATIVE PROXIMATE CARCINOGENS; CARCINOGENESIS 14(6):1189-1193, 1993]"
6354,363904285,96148,CN(C=O)N=O,Active,,,,RAT,F344/FEMALE,GAVAGE,0; 0.6 MG IN CORN OIL 2/WK FOR 20 WK (STUDY DURATION: 40 WK),FORESTOMACH: TUMOR; ESOPHAGUS: TUMOR,POSITIVE,"[ELESPURU,RK, SAAVEDRA,JE, KOVATCH,RM AND LIJINSKY,W; EXAMINATION OF ALPHA- CARBONYL DERIVATIVES OF NITROSODIMETHYLAMINE AND ETHYLNITROSOMETHYLAMINE AS PUTATIVE PROXIMATE CARCINOGENS; CARCINOGENESIS 14(6):1189-1193, 1993]"
6355,363904285,96148,CN(C=O)N=O,Active,,,,HAMSTER,SYRIAN/MALE,GAVAGE,0; 0.6 MG IN CORN OIL 1/WK FOR 15 WK (STUDY DURATION: 35 WK),FORESTOMACH: TUMOR,POSITIVE,"[ELESPURU,RK, SAAVEDRA,JE, KOVATCH,RM AND LIJINSKY,W; EXAMINATION OF ALPHA- CARBONYL DERIVATIVES OF NITROSODIMETHYLAMINE AND ETHYLNITROSOMETHYLAMINE AS PUTATIVE PROXIMATE CARCINOGENS; CARCINOGENESIS 14(6):1189-1193, 1993]"
6356,363904285,96148,CN(C=O)N=O,Inactive,,,,HAMSTER,SYRIAN/FEMALE,GAVAGE,0; 0.6 MG IN CORN OIL 1/WK FOR 15 WK (STUDY DURATION: 30 WK),,NEGATIVE,"[ELESPURU,RK, SAAVEDRA,JE, KOVATCH,RM AND LIJINSKY,W; EXAMINATION OF ALPHA- CARBONYL DERIVATIVES OF NITROSODIMETHYLAMINE AND ETHYLNITROSOMETHYLAMINE AS PUTATIVE PROXIMATE CARCINOGENS; CARCINOGENESIS 14(6):1189-1193, 1993]"
6357,363904294,108005,O.O.[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[Na+].[Na+],Active,,,,Rat,F344/N/Male,Oral,"0, 14.3, 57.3, 172, 516 mg/l of water, in drinking water for 2 yr (average daily dose of 0, 0.6, 2.2, 6, and 17 mg/kg)",Mouth and tongue: Squamous cell  papilloma and carcinoma,"Positive, Authors describe as clear evidence of carcinogenic activity","[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-546-Y08][STOUT,MD, HERBERT,RA, KISSLING,GE, COLLINS,BJ, TRAVLOS,GS,  WITT,KL, MELNICK,RL, ABDO,KM, MALARKEY,DE, HOOTH,MJ;   HEXAVALENT CHROMIUM IS CARCINOGENIC TO F344/N RATS AND   B6C3F1 MICE AFTER CHRONIC ORAL EXPOSURE; ENVIRON. HEALTH   PERSP. 117(5):716-722, 2009 , ]"
6358,363904294,108005,O.O.[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[Na+].[Na+],Active,,,,Rat,F344/N/Female,Oral,"0, 14.3, 57.3, 172, 516 mg/l of water, in drinking water for 2 yr (average daily dose of 0, 0.7, 2.7, 7, and 20 mg/kg)",Mouth and tongue: Squamous cell  papilloma and carcinoma,"Positive, Authors describe as clear evidence of carcinogenic activity","[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-546-Y08][STOUT,MD, HERBERT,RA, KISSLING,GE, COLLINS,BJ, TRAVLOS,GS,  WITT,KL, MELNICK,RL, ABDO,KM, MALARKEY,DE, HOOTH,MJ;   HEXAVALENT CHROMIUM IS CARCINOGENIC TO F344/N RATS AND   B6C3F1 MICE AFTER CHRONIC ORAL EXPOSURE; ENVIRON. HEALTH   PERSP. 117(5):716-722, 2009 , ]"
6359,363904294,108005,O.O.[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[Na+].[Na+],Active,,,,Mouse,B6C3F1/Male,Oral,"0, 14.3, 28.6, 85.7, 257.4 mg/l of water, in drinking water for 2 yr (average daily dose of 0, 1.1, 2.6, 7, and 17 mg/kg)","Small intestine (duodenum, jejunum, ileum): Adenomas and carcinomas","Positive, Authors describe as clear evidence of carcinogenic activity","[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-546-Y08][STOUT,MD, HERBERT,RA, KISSLING,GE, COLLINS,BJ, TRAVLOS,GS,  WITT,KL, MELNICK,RL, ABDO,KM, MALARKEY,DE, HOOTH,MJ;   HEXAVALENT CHROMIUM IS CARCINOGENIC TO F344/N RATS AND   B6C3F1 MICE AFTER CHRONIC ORAL EXPOSURE; ENVIRON. HEALTH   PERSP. 117(5):716-722, 2009 , ]"
6360,363904294,108005,O.O.[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[Na+].[Na+],Active,,,,Mouse,B6C3F1/Female,Oral,"0, 14.3, 57.3, 172, 516 mg/l of water, in drinking water for 2 yr (average daily dose of 0, 1.1, 3.9, 9, and 25 mg/kg)","Small intestine (duodenum, jejunum, ileum):  Adenomas and carcinomas","Positive, Authors describe as clear evidence of carcinogenic activity","[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-546-Y08][STOUT,MD, HERBERT,RA, KISSLING,GE, COLLINS,BJ, TRAVLOS,GS,  WITT,KL, MELNICK,RL, ABDO,KM, MALARKEY,DE, HOOTH,MJ;   HEXAVALENT CHROMIUM IS CARCINOGENIC TO F344/N RATS AND   B6C3F1 MICE AFTER CHRONIC ORAL EXPOSURE; ENVIRON. HEALTH   PERSP. 117(5):716-722, 2009 , ]"
6361,363904378,28094,S=[Ni],Active,,,,RAT,F344/MALE,INTRAMUSCULAR,0; 14 MG NICKEL/RAT IN 0.3-0.5 ML OF GLYCEROL:WATER (1:1) ONCE (STUDY DURATION: 1 YR),INJECTION SITE: SARCOMA,POSITIVE,"[SUNDERMAN,FW,JR; CARCINOGENICITY OF NICKEL COMPOUNDS IN ANIMALS; IARC SCI. PUBL. 53(NICKEL HUM. ENVIRON.):127-142, 1984]"
6362,363904381,38078,CC(C)N.C(C(=O)O)NCP(=O)(O)O,Inactive,,,,Rat,Sprague-Dawley/Male (50/Group),Oral,"0; 2000; 8000; 20,000 ppm of 96.5% glyphosate, isopropylamine salt in diet for 24 mo; study duration 24 mo",,Negative,"[CALIFORNIA ENVIRONMENTAL PROTECTION AGENCY DEPARTMENT OF PESTICIDE REGULATION; SUMMARY OF TOXICOLOGY DATA FOR GLYPHOSATE, ISOPROPYLAMINE SALT (November 3, 1992)]"
6363,363904381,38078,CC(C)N.C(C(=O)O)NCP(=O)(O)O,Active,,,,Rat,Sprague-Dawley/Female (50/Group),Oral,"0; 2000; 8000; 20,000 ppm of 96.5% glyphosate, isopropylamine salt in diet for 24 mo; study duration 24 mo",Adrenal cortex: carcinoma (3/50 in high dose group vs 0 in all other groups),Positive. (Department of Pesticides Regulation reviewer describes as a possible adverse effect.),"[CALIFORNIA ENVIRONMENTAL PROTECTION AGENCY DEPARTMENT OF PESTICIDE REGULATION; SUMMARY OF TOXICOLOGY DATA FOR GLYPHOSATE, ISOPROPYLAMINE SALT (November 3, 1992)]"
6364,363904460,104977,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CO,Inactive,,,,RAT,SPRAGUE-DAWLEY/FEMALE,SUBCUTANEOUS,0; 0.2 UMOL IN 0.1 ML SESAME OIL:DMSO (9:1) 1/2 D FOR 20 DOSES (STUDY DURATION: 52 WK),,NEGATIVE,"[HORN,J, FLESHER,JW AND LEHNER,AF; 1-SULFOOXYMETHYLPYRENE IS AN ELECTROPHILIC MUTAGEN AND ULTIMATE CARCINOGEN OF 1-METHYL- AND 1-HYDROXYMETHYLPYRENE; BIOCHEM. BIOPHYS. RES. COMMUN. 228(1):105-109, 1996]"
6365,363904492,27492,C=COC(=O)N,Active,,,,MOUSE,CD-1/FEMALE,DERMAL,0; 11.5 UMOL IN WEEKS 1 AND 2 THEN 5.7 UMOL IN WEEKS 3 AND 4 FOLLOWED BY 3.8 UMOL/WK FOR 28 WK (STUDY DURATION: 42 WK),"SKIN: PAPILLOMA, CARCINOMA",POSITIVE,"[PARK,KK, LIEM,A, STEWART,BC AND MILLER,JA; VINYL CARBAMATE EPOXIDE, A MAJOR STRONG ELECTROPHILIC, MUTAGENIC AND CARCINOGENIC METABOLITE OF VINYL CARBAMATE AND ETHYL CARBAMATE (URETHANE); CARCINOGENESIS 14(3):441-450, 1993]"
6366,363904492,27492,C=COC(=O)N,Active,,,,MOUSE,STRAIN-A/FEMALE,INTRAPERITONEAL,0; 34; 68 NMOL/G BW IN 5 UL TRIOCTANOIN ONCE (STUDY DURATION: 6 MO),LUNG: ADENOMA,POSITIVE,"[PARK,KK, LIEM,A, STEWART,BC AND MILLER,JA; VINYL CARBAMATE EPOXIDE, A MAJOR STRONG ELECTROPHILIC, MUTAGENIC AND CARCINOGENIC METABOLITE OF VINYL CARBAMATE AND ETHYL CARBAMATE (URETHANE); CARCINOGENESIS 14(3):441-450, 1993]"
6367,363904492,27492,C=COC(=O)N,Active,,,,MOUSE,B6C3F1/MALE,INTRAPERITONEAL,0; 2.5 UG/G BW IN 10 UL TRIOCTANOIN ONCE (STUDY DURATION: 9 MO),LIVER: HEPATOMA,POSITIVE,"[PARK,KK, LIEM,A, STEWART,BC AND MILLER,JA; VINYL CARBAMATE EPOXIDE, A MAJOR STRONG ELECTROPHILIC, MUTAGENIC AND CARCINOGENIC METABOLITE OF VINYL CARBAMATE AND ETHYL CARBAMATE (URETHANE); CARCINOGENESIS 14(3):441-450, 1993]"
6368,363904492,27492,C=COC(=O)N,Inactive,,,,RAT,SPRAGUE-DAWLEY/FEMALE,INTRAMUSCULAR,0; 1.15; 2.3 UMOL IN 0.25 ML TRIOCTANOIN 1/WK FOR 10 WK (STUDY DURATION: 18 MO),,NEGATIVE,"[PARK,KK, LIEM,A, STEWART,BC AND MILLER,JA; VINYL CARBAMATE EPOXIDE, A MAJOR STRONG ELECTROPHILIC, MUTAGENIC AND CARCINOGENIC METABOLITE OF VINYL CARBAMATE AND ETHYL CARBAMATE (URETHANE); CARCINOGENESIS 14(3):441-450, 1993]"
6369,363904549,5461123,[Si],Active,,,,RAT,F344/FEMALE,SUBCUTANEOUS IMPLANT,10 X 20 X 0.3 MM SHEETS IMPLANTED INTO 2 SITES IN LATERAL ABDOMINAL REGION AND 1 SITE ON THE BACK (STUDY DURATION: 741 D),IMPLANT SITE: MALIGNANT HISTIOCYTOMA,POSITIVE,"[HATANAKA,S, ONEDA,S, OKAZAKI,K, SHONG,L, YOSHIDA,A, ISAKA,H AND YOSHIDA,H; INDUCTION OF MALIGNANT FIBROUS HISTIOCYTOMA IN FEMALE FISHER RATS BY IMPLANTATION OF CYANOACRYLATE, ZIRCONIA, POLYVINYL CHLORIDE OR SILICONE; IN VIVO 7(2):111-115, 1993]"
6370,363904550,,,Inactive,,,,RAT,F344/FEMALE,SUBCUTANEOUS IMPLANT,10 X 20 X 0.3 MM SHEETS IMPLANTED INTO 2 SITES IN LATERAL ABDOMINAL REGION AND 1 SITE ON THE BACK (STUDY DURATION: 741 D),,NEGATIVE,"[HATANAKA,S, ONEDA,S, OKAZAKI,K, SHONG,L, YOSHIDA,A, ISAKA,H AND YOSHIDA,H; INDUCTION OF MALIGNANT FIBROUS HISTIOCYTOMA IN FEMALE FISHER RATS BY IMPLANTATION OF CYANOACRYLATE, ZIRCONIA, POLYVINYL CHLORIDE OR SILICONE; IN VIVO 7(2):111-115, 1993]"
6371,363904551,62395,O=[Zr]=O,Active,,,,RAT,F344/FEMALE,SUBCUTANEOUS IMPLANT,4 CM SHEET IMPLANTED INTO 1 SITE ON THE ABDOMEN (STUDY DURATION: 741 D),IMPLANT SITE: MALIGNANT HISTIOCYTOMA,POSITIVE,"[HATANAKA,S, ONEDA,S, OKAZAKI,K, SHONG,L, YOSHIDA,A, ISAKA,H AND YOSHIDA,H; INDUCTION OF MALIGNANT FIBROUS HISTIOCYTOMA IN FEMALE FISHER RATS BY IMPLANTATION OF CYANOACRYLATE, ZIRCONIA, POLYVINYL CHLORIDE OR SILICONE; IN VIVO 7(2):111-115, 1993]"
6372,363904551,62395,O=[Zr]=O,Active,,,,Rat,Wistar/Female (48/group),Intratracheal,"6 mg of 1.8-4 um particles given as 10 instillations before wk 26, study duration 115 wk or no treatment","Lung: Bronchiolo-alveolar adenoma (2/47 experimental animals vs 0/46 control animals), cystic keratinizing epithelioma (2/47 vs 0/46)","Positive, low incidence of benign tumors.","[MOHR,U, ERNST,H, ROLLER,M, AND POTT,F; PULMONARY TUMOR TYPES INDUCED IN WISTAR RATS OF THE SO-CALLED 19-DUST STUDY; EXPERIMENTAL AND TOXICOLOGIC PATHOLOGY 58:13-20, 2006]"
6373,363904552,27488,C=C(C#N)C(=O)O,Active,,,,RAT,F344/FEMALE,SUBCUTANEOUS IMPLANT,"0.12 G INJECTED INTO 2 SITES ON THE LATERAL ABDOMEN, 2 SITES ON THE LATERAL CHEST REGION AND 1 SITE ON THE BACK (STUDY DURATION: 741 D)",IMPLANT SITE: MALIGNANT HISTIOCYTOMA,POSITIVE,"[HATANAKA,S, ONEDA,S, OKAZAKI,K, SHONG,L, YOSHIDA,A, ISAKA,H AND YOSHIDA,H; INDUCTION OF MALIGNANT FIBROUS HISTIOCYTOMA IN FEMALE FISHER RATS BY IMPLANTATION OF CYANOACRYLATE, ZIRCONIA, POLYVINYL CHLORIDE OR SILICONE; IN VIVO 7(2):111-115, 1993]"
6374,363904553,6335834,O.O[Si](O)(O)O.O[Si](O)(O)O.[Mg].[Mg].[Mg],Inactive,,,,MOUSE,"ALBINO/MALE, FEMALE",INTRAPERITONEAL,0; 25 MG IN 0.5 ML SALINE ONCE AT 2 MO OF AGE AND ONCE AT 3 MO OF AGE (STUDY DURATION: LIFE SPAN),,NEGATIVE,"[FRASH,VN, VANCHUGOVA,NN, RUKOLEEVA,SN, ZUKOVA,VA, GREBENNIKOV,SA AND SCHERBAKOV,SV; CARCINOGENIC EFFECTS OF SOME NONFIBROUS MINERAL DUSTS; BYULL. EKSP. BIOL. MED. 114(12):648-651, 1992]"
6375,363904554,9942228,O=[Al]O[Al]=O.O=[Si]=O,Active,,,,MOUSE,"ALBINO/MALE, FEMALE",INTRAPERITONEAL,0; 25 MG IN 0.5 ML SALINE ONCE AT 2 MO OF AGE AND ONCE AT 3 MO OF AGE (STUDY DURATION: LIFE SPAN),PERITONEUM: MESOTHELIOMA,POSITIVE,"[FRASH,VN, VANCHUGOVA,NN, RUKOLEEVA,SN, ZUKOVA,VA, GREBENNIKOV,SA AND SCHERBAKOV,SV; CARCINOGENIC EFFECTS OF SOME NONFIBROUS MINERAL DUSTS; BYULL. EKSP. BIOL. MED. 114(12):648-651, 1992]"
6376,363904555,9989226,[O-2].[O-2].[O-2].[Al+3].[Al+3],Active,,,,MOUSE,"ALBINO/MALE, FEMALE",INTRAPERITONEAL,0; 10 MG IN 0.5 ML SALINE ONCE AT 2 MO OF AGE AND ONCE AT 3 MO OF AGE (STUDY DURATION: LIFE SPAN),PERITONEUM: MESOTHELIOMA,POSITIVE,"[FRASH,VN, VANCHUGOVA,NN, RUKOLEEVA,SN, ZUKOVA,VA, GREBENNIKOV,SA AND SCHERBAKOV,SV; CARCINOGENIC EFFECTS OF SOME NONFIBROUS MINERAL DUSTS; BYULL. EKSP. BIOL. MED. 114(12):648-651, 1992]"
6377,363904555,9989226,[O-2].[O-2].[O-2].[Al+3].[Al+3],Active,,,,Rat,Wistar/Female (48/group),Intratracheal,"5 and 10 instillations of 6 mg of 0.01-0.03 um particles given before wk 26, study duration 97 and 111 wk or no treatment","Lung: Bronchiolo-alveolar adenoma (10/44 and 10/47 experimental animals vs 1/46 control animals), bronchiolo-alveolar carcinoma (24/44 and 9/47 vs 0/46), adenosquamous cell carcinoma (1/44 and 0/47 vs 0/46), squamous cell carcinoma (12/44 and 20/47 vs 0/46, cystic keratinizing epithelioma (21/44 and 28/47 vs 0/46), non-keratinizing epithelioma (1/44 and 0/47 vs 0/46), >1 tumor type (23/44 and 20/47 vs 0/46)",Positive,"[MOHR,U, ERNST,H, ROLLER,M, AND POTT,F; PULMONARY TUMOR TYPES INDUCED IN WISTAR RATS OF THE SO-CALLED 19-DUST STUDY; EXPERIMENTAL AND TOXICOLOGIC PATHOLOGY 58:13-20, 2006]"
6378,363904560,126865,CNC(=O)C1=C(N=CN1C)N(C)N=O,Active,,,,RAT,"BD-IX/MALE, FEMALE",ORAL,0; 3; 5; 15 MG/KG/D IN DRINKING WATER 5D/WK FOR DURATION OF STUDY (STUDY DURATION: LIFETIME),NASAL CAVITY: TUMOR,POSITIVE,"[IVANKOVIC,S, SEIBEL,J, KOMITOWSKI,D, SPIEGELHALDER,B, PREUSSMANN,R AND SIDDIQI,M; CAFFEINE-DERIVED N-NITROSO COMPOUNDS. V. CARCINOGENICITY OF MONONITROSOCAFFEIDINE AND DINITROSOCAFFEIDINE IN BD-IX RATS; CARCINOGENSIS 19(5):933-937, 1998]"
6379,363904561,126866,CN1C=NC(=C1C(=O)N(C)N=O)N(C)N=O,Active,,,,RAT,"BD-IX/MALE, FEMALE",GAVAGE,0; 6; 60 MG/KG 2/WK AFTER 2 WK HIGH DOSE REDUCED TO 30 MG/KG FOR DURATION OF STUDY (STUDY DURATION: LIFETIME),FORESTOMACH: TUMOR,POSITIVE,"[IVANKOVIC,S, SEIBEL,J, KOMITOWSKI,D, SPIEGELHALDER,B, PREUSSMANN,R AND SIDDIQI,M; CAFFEINE-DERIVED N-NITROSO COMPOUNDS. V. CARCINOGENICITY OF MONONITROSOCAFFEIDINE AND DINITROSOCAFFEIDINE IN BD-IX RATS; CARCINOGENSIS 19(5):933-937, 1998]"
6380,363904601,7069270,C1CCN([C@@H](C1)C2=CN=CC=C2)N=O,Active,,,,MOUSE,STRAIN-A/FEMALE,INTRAPERITONEAL,0; 100 UMOL TOTAL DOSE ADMINISTERED IN SUBDOSES 3/WK FOR 7 WK (STUDY DURATION: 37 WK),LUNG: TUMOR,POSITIVE,"[HOFFMANN,D, DJORDJEVIC,MV, RIVENSON,A, ZANG,E, DESAI,D AND AMIN,S; A STUDY OF TOBACCO CARCINOGENESIS. LI. RELATIVE POTENCIES OF TOBACCO-SPECIFIC N-NITROSAMINES AS INDUCERS OF LUNG TUMORS IN A/J MICE; CANCER LETT. 71(1-3): 25-30, 1993]"
6381,363904602,105067,CN(C(CCCO)C1=CN=CC=C1)N=O,Inactive,,,,MOUSE,STRAIN-A/FEMALE,INTRAPERITONEAL,0; 200 UMOL TOTAL DOSE ADMINISTERED IN SUBDOSES 3/WK FOR 7 WK (STUDY DURATION: 37 WK),,NEGATIVE,"[HOFFMANN,D, DJORDJEVIC,MV, RIVENSON,A, ZANG,E, DESAI,D AND AMIN,S; A STUDY OF TOBACCO CARCINOGENESIS. LI. RELATIVE POTENCIES OF TOBACCO-SPECIFIC N-NITROSAMINES AS INDUCERS OF LUNG TUMORS IN A/J MICE; CANCER LETT. 71(1-3): 25-30, 1993]"
6382,363904664,338,C1=CC=C(C(=C1)C(=O)O)O,Inactive,,,,Mouse,SKH-1/Male (18/Group),Dermal,"0, 2, 4% administered as topical cream (pH 4) , 5 d/wk, 40 wk, animals held an additional 12 wk for study duration of 1 yr","Skin: Carcinoma in situ, squamous cell carcinoma, basal cell carcinoma","Negative. When synthetic solar light (SSL) at 0.3 and 0.6 the minimal erythema dose (MED) was also administered 5 d/wk, 4 hr/d for 40 wk, salicylic acid was photoprotective, reducing the carcinogenicity of 0.3 MED SSL.",[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES]
6383,363904664,338,C1=CC=C(C(=C1)C(=O)O)O,Inactive,,,,Mouse,SKH-1/Female (18/Group),Dermal,"0, 2, 4% administered as topical cream (pH 4) , 5 d/wk, 40 wk, animals held an additional 12 wk for study duration of 1 yr","Skin: Carcinoma in situ, squamous cell carcinoma, basal cell carcinoma","Negative. When synthetic solar light (SSL) at 0.3 and 0.6 the minimal erythema dose (MED) was also administered 5 d/wk, 4 hr/d for 40 wk, salicylic acid was photoprotective, reducing the carcinogenicity of 0.3 MED SSL.","[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-524 Y07]"
6384,363904668,2733525,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Active,,,,RAT,SPRAGUE-DAWLEY/FEMALE,GAVAGE,0; 11.3; 22.6 MG/KG IN 0.5% CARBOXYMETHYLCELLULOSE 1/D 7 D/WK FOR UP TO 12 MO (STUDY DURATION: 15 MO),"LIVER: HEPATOCELLULAR ADENOMA, HEPATOCELLULAR CARCINOMA",POSITIVE,"[HARD,GC, IATROPOULOS,MJ, JORDAN,K, RADI,L, KALTENBERG,OP, IMONDI,AR AND WILLIAMS,GM; MAJOR DIFFERENCE IN THE HEPATOCARCINOGENICITY AND DNA ADDUCT FORMING ABILITY BETWEEN TOREMIFENE AND TAMOXIFEN IN FEMALE CRL:CD(BR) RATS; CANCER RES. 53(19):4534-4541, 1993]"
6385,363904668,2733525,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,,,,Mouse,CD-1/Female (30/group),Subcutaneous,"0; 10 ug as tamoxifen in peanut oil; dosed on days 1-5 of life and retained for 1.5 (4 animals), 3 (4 animals), 6 (4 animals), 12 (4 animals) or 18 (14 animals) months",Uterus and ovaries examined,Negative,"[RAZVI,N GREAVES,P STYLES,J EDWARDS,R AND WHITE,INH; ABSENCE OF UTERINE TUMOURS IN CD-1 MICE TREATED NEONATALLY WITH SUBCUTANEOUS TAMOXIFEN OR 4-HYDROXYOESTRADIOL; EXPERIMENTAL AND TOXICOLOGIC PATHOLOGY 59(3-4):177-85, 2007]"
6386,363904668,2733525,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,,,,Mouse,CD-1/Female (35/group),Subcutaneous,"0; 5; 10; 25; 50 ug as tamoxifen in peanut oil; dosed on days 1-5 of life and retained for 3 (4 animals), 6 (4 animals), 12 (4 animals) or 18 (14 animals) months",Uterus and ovaries examined,Negative (Nonneoplastic changes were observed),"[RAZVI,N GREAVES,P STYLES,J EDWARDS,R AND WHITE,INH; ABSENCE OF UTERINE TUMOURS IN CD-1 MICE TREATED NEONATALLY WITH SUBCUTANEOUS TAMOXIFEN OR 4-HYDROXYOESTRADIOL; EXPERIMENTAL AND TOXICOLOGIC PATHOLOGY 59(3-4):177-85, 2007]"
6387,363904669,3005572,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,,,,RAT,SPRAGUE-DAWLEY/FEMALE,GAVAGE,0; 12; 24 MG/KG IN 0.5% CARBOXYMETHYLCELLULOSE 1/D 7 D/WK FOR UP TO 12 MO (STUDY DURATION: 15 MO),,NEGATIVE,"[HARD,GC, IATROPOULOS,MJ, JORDAN,K, RADI,L, KALTENBERG,OP, IMONDI,AR AND WILLIAMS,GM; MAJOR DIFFERENCE IN THE HEPATOCARCINOGENICITY AND DNA ADDUCT FORMING ABILITY BETWEEN TOREMIFENE AND TAMOXIFEN IN FEMALE CRL:CD(BR) RATS; CANCER RES. 53(19):4534-4541, 1993]"
6388,363904669,3005572,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,,,,RAT,SPRAGUE-DAWLEY/MALE,ORAL,0; 0.12; 1.2; 5; 12 MG/KG/D IN DIET FOR DURATION OF STUDY (STUDY DURATION: 104 WK),,NEGATIVE,"[KARLSSON,S, HIRSIMAKI,Y, MANTYLA,E, NIEMINEN,L, KANGAS,L, HIRSIMAKI,P, PERRY,CJ, MULHERN,M, MILLAR,P, HANDA,J AND WILLIAMS,GM; A TWO-YEAR DIETARY CARCINOGENICITY STUDY OF THE ANTIESTROGEN TOREMIFENE IN SPRAGUE-DAWLEY RATS; DRUG CHEM. TOXICOL. 19(4):245-266, 1996]"
6389,363904669,3005572,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,,,,RAT,SPRAGUE-DAWLEY/FEMALE,ORAL,0; 0.12; 1.2; 5; 12 MG/KG/D IN DIET FOR DURATION OF STUDY (STUDY DURATION: 104 WK),,NEGATIVE,"[KARLSSON,S, HIRSIMAKI,Y, MANTYLA,E, NIEMINEN,L, KANGAS,L, HIRSIMAKI,P, PERRY,CJ, MULHERN,M, MILLAR,P, HANDA,J AND WILLIAMS,GM; A TWO-YEAR DIETARY CARCINOGENICITY STUDY OF THE ANTIESTROGEN TOREMIFENE IN SPRAGUE-DAWLEY RATS; DRUG CHEM. TOXICOL. 19(4):245-266, 1996]"
